Date,Open,High,Low,Close,Volume
10-Feb-17,64.25,64.30,63.98,64.00,18170729
9-Feb-17,63.52,64.44,63.32,64.06,22644443
8-Feb-17,63.57,63.81,63.22,63.34,18096358
7-Feb-17,63.74,63.78,63.23,63.43,20277226
6-Feb-17,63.50,63.65,63.14,63.64,19796360
3-Feb-17,63.50,63.70,63.07,63.68,30301759
2-Feb-17,63.25,63.41,62.75,63.17,45827013
1-Feb-17,64.36,64.62,63.47,63.58,39671528
31-Jan-17,64.86,65.15,64.26,64.65,25270549
30-Jan-17,65.69,65.79,64.80,65.13,31651445
27-Jan-17,65.39,65.91,64.89,65.78,44817972
26-Jan-17,64.12,64.54,63.55,64.27,43554645
25-Jan-17,63.95,64.10,63.45,63.68,24654933
24-Jan-17,63.20,63.74,62.94,63.52,24672940
23-Jan-17,62.70,63.12,62.57,62.96,23097581
20-Jan-17,62.67,62.82,62.37,62.74,30213462
19-Jan-17,62.24,62.98,62.20,62.30,18451655
18-Jan-17,62.67,62.70,62.12,62.50,19670102
17-Jan-17,62.68,62.70,62.03,62.53,20663983
13-Jan-17,62.62,62.86,62.35,62.70,19422310
12-Jan-17,63.06,63.40,61.95,62.61,20968223
11-Jan-17,62.61,63.23,62.43,63.19,21517335
10-Jan-17,62.73,63.07,62.28,62.62,18593004
9-Jan-17,62.76,63.08,62.54,62.64,20382730
6-Jan-17,62.30,63.15,62.04,62.84,19922919
5-Jan-17,62.19,62.66,62.03,62.30,24875968
4-Jan-17,62.48,62.75,62.12,62.30,21339969
3-Jan-17,62.79,62.84,62.12,62.58,20694101
30-Dec-16,62.96,62.99,62.03,62.14,25579908
29-Dec-16,62.86,63.20,62.73,62.90,10250582
28-Dec-16,63.40,63.40,62.83,62.99,14653348
27-Dec-16,63.21,64.07,63.21,63.28,11763173
23-Dec-16,63.45,63.54,62.80,63.24,12403819
22-Dec-16,63.84,64.10,63.40,63.55,22176585
21-Dec-16,63.43,63.70,63.12,63.54,17096304
20-Dec-16,63.69,63.80,63.02,63.54,26028379
19-Dec-16,62.56,63.77,62.42,63.62,34338219
16-Dec-16,62.95,62.95,62.12,62.30,42453083
15-Dec-16,62.70,63.15,62.30,62.58,27669868
14-Dec-16,63.00,63.45,62.53,62.68,30352654
13-Dec-16,62.50,63.42,62.24,62.98,35718868
12-Dec-16,61.82,62.30,61.72,62.17,20198081
9-Dec-16,61.18,61.99,61.12,61.97,27349356
8-Dec-16,61.30,61.58,60.84,61.01,21220753
7-Dec-16,60.01,61.38,59.80,61.37,30808969
6-Dec-16,60.43,60.46,59.80,59.95,19907035
5-Dec-16,59.70,60.58,59.56,60.22,23552658
2-Dec-16,59.08,59.47,58.80,59.25,25515665
1-Dec-16,60.11,60.15,58.94,59.20,34542121
30-Nov-16,60.86,61.18,60.22,60.26,34655435
29-Nov-16,60.65,61.41,60.52,61.09,22366721
28-Nov-16,60.34,61.02,60.21,60.61,20732619
25-Nov-16,60.30,60.53,60.13,60.53,8409616
23-Nov-16,61.01,61.10,60.25,60.40,21848913
22-Nov-16,60.98,61.26,60.80,61.12,23206700
21-Nov-16,60.50,60.97,60.42,60.86,19652595
18-Nov-16,60.78,61.14,60.30,60.35,27686311
17-Nov-16,60.41,60.95,59.96,60.64,31463728
16-Nov-16,58.94,59.66,58.81,59.65,27332475
15-Nov-16,58.33,59.49,58.32,58.87,35904126
14-Nov-16,59.02,59.08,57.28,58.12,41328422
11-Nov-16,58.23,59.12,58.01,59.02,38767843
10-Nov-16,60.48,60.49,57.63,58.70,57822394
9-Nov-16,60.00,60.59,59.20,60.17,49632479
8-Nov-16,60.55,60.78,60.15,60.47,22935355
7-Nov-16,59.78,60.52,59.78,60.42,31664798
4-Nov-16,58.65,59.28,58.52,58.71,28697016
3-Nov-16,59.53,59.64,59.11,59.21,21600427
2-Nov-16,59.82,59.93,59.30,59.43,22147005
1-Nov-16,59.97,60.02,59.25,59.80,24532986
31-Oct-16,60.16,60.42,59.92,59.92,26434697
28-Oct-16,60.01,60.52,59.58,59.87,33574684
27-Oct-16,60.61,60.83,60.09,60.10,28479856
26-Oct-16,60.81,61.20,60.47,60.63,29911608
25-Oct-16,60.85,61.37,60.80,60.99,35137164
24-Oct-16,59.94,61.00,59.93,61.00,54066978
21-Oct-16,60.28,60.45,59.48,59.66,80032206
20-Oct-16,57.50,57.52,56.66,57.25,49455612
19-Oct-16,57.47,57.84,57.40,57.53,22878397
18-Oct-16,57.53,57.94,57.41,57.66,19149538
17-Oct-16,57.36,57.46,56.87,57.22,23830014
14-Oct-16,57.12,57.74,57.12,57.42,27402451
13-Oct-16,56.70,57.30,56.32,56.92,25313748
12-Oct-16,57.11,57.27,56.40,57.11,22177464
11-Oct-16,57.89,58.02,56.89,57.19,26497418
10-Oct-16,57.91,58.39,57.87,58.04,18196509
7-Oct-16,57.85,57.98,57.42,57.80,20089020
6-Oct-16,57.74,57.86,57.28,57.74,16212611
5-Oct-16,57.29,57.96,57.26,57.64,16726411
4-Oct-16,57.27,57.60,56.97,57.24,20085874
3-Oct-16,57.40,57.55,57.06,57.42,19189515
30-Sep-16,57.57,57.77,57.34,57.60,29910788
29-Sep-16,57.81,58.17,57.21,57.40,25463536
28-Sep-16,57.88,58.06,57.67,58.03,20536400
27-Sep-16,56.93,58.06,56.68,57.95,28065071
26-Sep-16,57.08,57.14,56.83,56.90,21688720
23-Sep-16,57.87,57.91,57.38,57.43,19955336
22-Sep-16,57.92,58.00,57.63,57.82,19822203
21-Sep-16,57.51,57.85,57.08,57.76,33707272
20-Sep-16,57.35,57.35,56.75,56.81,17383982
19-Sep-16,57.27,57.75,56.85,56.93,20937104
16-Sep-16,57.63,57.63,56.75,57.25,44606965
15-Sep-16,56.15,57.35,55.98,57.19,27062614
14-Sep-16,56.39,56.63,56.03,56.26,24274273
13-Sep-16,56.50,56.65,56.05,56.53,30130213
12-Sep-16,56.00,57.20,55.61,57.05,29302962
9-Sep-16,56.79,57.52,56.21,56.21,35113934
8-Sep-16,57.63,57.79,57.18,57.43,20146083
7-Sep-16,57.47,57.84,57.40,57.66,17493359
6-Sep-16,57.78,57.80,57.21,57.61,16278416
2-Sep-16,57.67,58.19,57.42,57.67,18900489
1-Sep-16,57.01,57.82,57.01,57.59,26075363
31-Aug-16,57.65,57.80,57.30,57.46,20860269
30-Aug-16,57.98,58.19,57.61,57.89,16930185
29-Aug-16,58.18,58.60,58.10,58.10,16417207
26-Aug-16,58.28,58.70,57.69,58.03,20971202
25-Aug-16,57.88,58.29,57.78,58.17,18552579
24-Aug-16,57.80,58.04,57.72,57.95,18151506
23-Aug-16,57.90,58.18,57.85,57.89,18732373
22-Aug-16,57.60,57.75,57.26,57.67,15221922
19-Aug-16,57.43,57.73,57.20,57.62,17271044
18-Aug-16,57.42,57.70,57.27,57.60,14214341
17-Aug-16,57.54,57.68,57.23,57.56,18856423
16-Aug-16,57.61,57.62,57.27,57.44,20523493
15-Aug-16,58.01,58.50,57.96,58.12,19283902
12-Aug-16,58.03,58.19,57.62,57.94,21655161
11-Aug-16,58.03,58.45,58.03,58.30,18162301
10-Aug-16,58.16,58.32,57.82,58.02,15756913
9-Aug-16,58.17,58.50,58.02,58.20,16920721
8-Aug-16,58.06,58.08,57.78,58.06,19473499
5-Aug-16,57.65,58.21,57.45,57.96,29335221
4-Aug-16,56.80,57.52,56.67,57.39,26587749
3-Aug-16,56.68,57.11,56.49,56.97,22075616
2-Aug-16,56.85,56.90,56.31,56.58,35121958
1-Aug-16,56.60,56.75,56.14,56.58,26003419
29-Jul-16,56.26,56.76,56.05,56.68,30558718
28-Jul-16,56.00,56.37,55.72,56.21,37550411
27-Jul-16,56.61,56.80,56.11,56.19,32327477
26-Jul-16,56.52,57.29,56.51,56.76,28078995
25-Jul-16,56.47,56.74,56.26,56.73,25610587
22-Jul-16,56.08,56.63,55.78,56.57,32157167
21-Jul-16,55.98,56.23,55.76,55.80,32776653
20-Jul-16,56.15,56.84,55.53,55.91,89893301
19-Jul-16,53.71,53.90,52.93,53.09,53336533
18-Jul-16,53.70,54.34,53.55,53.96,31433864
15-Jul-16,53.95,54.00,53.21,53.70,32024385
14-Jul-16,53.84,53.99,53.58,53.74,24545520
13-Jul-16,53.56,53.86,53.18,53.51,25356841
